0.21,0.21,NA,0.25,0.27,0.34,0.64,0.29,0.42,0.45,
0.24,0.48,NA,0.19,0.29,0.23,0.27,0.28,0.37,0.99,
0.25,1.34,NA,0.14,0.26,0.18,0.09,0.28,0.4,0.85,
0.95,0.58,0.96,0.69,0.6,0.61,0.47,0.69,0.47,0.53,0.5
0.73,0.44,0.45,0.44,0.38,0.84,0.34,0.73,0.44,0.37,0.65
0.58,0.29,0.22,0.25,0.23,0.95,0.2,0.87,0.36,0.25,0.66
0.54,0.15,0.17,0.11,0.17,0.53,0.1,0.78,0.26,0.14,0.75
0.73,0.13,0.21,0.05,0.25,0.15,0.14,0.35,0.28,0.35,1.11
1.48,0.21,0.41,0.21,0.55,0.19,0.42,0.12,0.64,1.11,2.05
2.7,0.41,0.83,0.83,0.96,0.73,0.75,0.23,1.24,1.73,3
3.37,0.96,1.24,1.46,1.16,1.55,0.87,0.57,1.53,1.58,3.01
3.34,1.43,1.17,1.38,1.03,1.68,0.82,0.89,1.32,1.26,2.75
3.48,1.23,0.8,0.92,0.72,1.24,0.66,0.74,1.08,1.33,2.63
3.98,0.92,0.68,0.81,0.52,1.31,0.46,0.57,1.16,1.41,2.51
4.71,1.22,0.96,1.21,0.82,1.48,0.37,0.65,1.25,1.45,2.82
5.38,1.94,1.41,1.76,1.55,1.33,0.44,0.52,1.23,1.66,3.26
5.67,2.69,1.93,2.11,2.04,1.43,0.52,0.37,1.31,1.74,3.42
5.37,3.26,2.37,2.25,2.01,1.57,0.57,0.38,1.27,1.47,3.07
4.5,3.28,2.55,2.03,1.75,1.33,0.58,0.36,0.98,1.13,2.4
3.59,2.8,2.42,1.57,1.61,1,0.48,0.33,0.77,0.98,2.02
3.04,2.35,2.2,1.38,1.66,0.88,0.41,0.35,0.74,1.06,1.91
2.68,2.16,1.84,1.38,1.72,0.91,0.45,0.4,0.79,1.05,1.82
2.24,1.86,1.3,1.24,1.58,0.83,0.56,0.43,0.92,0.81,1.67
1.74,1.41,1.16,1.04,1.36,0.59,0.54,0.42,1.15,0.68,1.27
1.44,1.22,1.41,1.01,1.39,0.46,0.49,0.36,1.39,0.88,0.83
1.42,1.3,1.58,1.23,1.66,0.59,0.89,0.31,1.32,1.15,0.74
1.45,1.39,1.6,1.52,1.89,0.93,1.54,0.54,1.16,1.25,0.87
1.24,1.27,1.45,1.55,1.92,1.34,1.89,1.25,1.39,1.16,0.99
0.91,1.01,1.15,1.33,1.8,1.56,2.03,2.01,1.85,1.06,0.95
0.6,0.85,0.79,1.03,1.66,1.58,2.2,2.4,2.27,1.06,0.86
0.33,0.75,0.54,0.74,1.59,1.58,2.47,2.83,2.69,1.17,0.92
0.17,0.69,0.51,0.62,1.66,1.73,2.92,3.79,3.3,1.37,1.16
0.1,0.7,0.65,0.66,1.87,1.98,3.73,5.08,4.37,1.58,1.49
0.07,0.74,0.79,0.74,2.15,2.23,4.86,6.19,5.68,1.7,1.88
0.06,0.78,0.91,0.84,2.38,2.44,5.84,6.82,6.62,1.69,2.34
0.08,0.83,1.03,0.98,2.51,2.58,6.29,7.14,7.05,1.55,2.82
0.15,0.94,1.19,1.14,2.56,2.56,6.3,7.38,7.12,1.38,3.09
0.28,1.04,1.27,1.21,2.6,2.39,6.1,7.59,6.85,1.27,3.18
0.35,1.01,1.25,1.18,2.95,2.12,5.75,7.83,6.74,1.3,3.4
0.45,1,1.34,1.23,3.92,1.78,5.27,8.26,7.45,1.44,3.6
0.96,1.21,1.72,1.58,5.52,1.44,4.82,8.65,8.22,1.5,3.46
1.95,1.82,2.65,2.58,7.35,1.23,4.64,8.35,7.67,1.26,3.01
2.75,2.78,4.11,3.92,8.82,1.25,4.54,7.26,6.07,0.78,2.2
2.91,3.43,5.41,4.45,9.54,1.33,4.13,5.99,4.34,0.44,1.25
2.71,3.48,6.03,4.25,9.61,1.17,3.39,4.65,2.78,0.34,0.66
2.28,3.23,6.06,3.74,9.18,0.75,2.43,3.07,1.67,0.29,0.44
1.57,2.7,5.76,2.84,8.34,0.25,1.52,1.49,0.96,0.24,0.29
