"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"VT01",1.29095187704112e-08,1.36118049383391e-10,2.12787489072908e-12,4.51779973310984e-09,3.71792019268707e-13,6.61397370203391e-13,1.16337251561322e-12,9.7872558980004e-22,1.11262554469894e-16,4.00812147161826e-14,1.83275224472019e-19
"VT02",NA,0.000219340509813544,8.37668521613054e-06,0.000169379833203266,3.65603732829451e-06,1.14176093978417e-05,3.10590462597177e-05,2.03043906082111e-09,7.84743260621612e-10,3.58434591556259e-06,1.37378880926874e-07
"VT03",NA,NA,6.25307814884809e-17,1.23249360621761e-11,2.97974061223836e-12,6.75678030212946e-13,3.11081060758359e-11,1.06016551524392e-10,1.44672460455426e-09,4.69928069277217e-09,2.81651270412941e-10
"VT04",NA,NA,NA,2.27318186081518e-11,8.80998970894313e-12,1.21135584530359e-13,3.07658160042292e-13,5.17711440551069e-13,1.28940575735516e-10,5.08652845613208e-09,1.63649984726029e-12
"VT05",NA,NA,NA,NA,4.78303782099885e-09,8.95277450908643e-10,3.83987034095869e-09,8.22539800628719e-10,3.49398261166369e-08,4.2766440422817e-06,1.47117122829141e-09
"VT06",NA,NA,NA,NA,NA,5.15694015148375e-17,2.99038087675841e-11,3.77542969251726e-12,5.25807892684851e-11,3.88579600737649e-14,6.63325512837703e-11
"VT07",NA,NA,NA,NA,NA,NA,3.06489447587447e-13,5.47103677383907e-12,4.00678655539829e-10,1.80371986982232e-12,3.38760336749348e-11
"VT08",NA,NA,NA,NA,NA,NA,NA,9.51392266836052e-12,4.77015878594954e-10,7.23367748378232e-11,5.32307610089577e-14
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,7.5766348450682e-17,8.41929520398963e-12,5.01664785200413e-19
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37717147089438e-11,5.58327476059823e-14
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60860551599379e-11
